day,time,operation
7,15:40,перешел в status TEST_STOPPING
7,15:40,перешел в status CANCELED
7,15:48,запустил test
7,15:48,стартовал grafana
7,15:51,перешел в status TEST_STOPPING
7,15:51,перешел в status CANCELED
7,15:52,запустил test
7,15:52,стартовал grafana
7,15:54,перешел в status TEST_STOPPING
7,15:54,перешел в status CANCELED
7,15:57,запустил test
7,15:57,запустил test
7,15:57,запустил test
7,15:57,стартовал grafana
7,15:59,стартовал grafana
7,15:59,стартовал grafana
7,16:15,перешел в status FINISHED
7,16:17,перешел в status FINISHED
7,16:17,перешел в status FINISHED
7,16:20,запустил test
7,16:20,запустил test
7,16:20,запустил test
7,16:21,стартовал grafana
7,16:21,перешел в status TEST_STOPPING
7,16:21,перешел в status CANCELED
7,16:21,перешел в status TEST_STOPPING
7,16:21,перешел в status CANCELED
7,16:21,перешел в status TEST_STOPPING
7,16:21,перешел в status CANCELED
7,16:23,запустил test
7,16:23,запустил test
7,16:23,запустил test
7,16:23,стартовал grafana
7,16:24,перешел в status TEST_STOPPING
7,16:24,перешел в status CANCELED
7,16:24,перешел в status TEST_STOPPING
7,16:24,перешел в status CANCELED
7,16:24,перешел в status TEST_STOPPING
7,16:24,перешел в status CANCELED
7,16:33,запустил test
7,16:33,запустил test
7,16:33,запустил test
7,16:33,стартовал grafana
7,16:35,стартовал grafana
7,16:35,стартовал grafana
7,16:51,перешел в status FINISHED
7,16:53,перешел в status FINISHED
7,16:53,перешел в status FINISHED
7,17:17,запустил test
7,17:17,перешел в status TEST_STOPPING
7,17:17,перешел в status CANCELED
7,17:18,запустил test
7,17:21,стартовал grafana
7,17:22,перешел в status TEST_STOPPING
7,17:22,перешел в status CANCELED
7,17:27,запустил test
7,17:28,стартовал grafana
7,17:56,перешел в status FINISHED
7,17:57,запустил test
7,17:57,запустил test
7,17:57,запустил test
7,17:57,стартовал grafana
7,17:57,запустил test
7,17:59,стартовал grafana
7,17:59,стартовал grafana
7,17:59,стартовал grafana
7,18:18,перешел в status FINISHED
7,18:20,перешел в status FINISHED
7,18:20,перешел в status FINISHED
7,18:20,перешел в status FINISHED
8,11:49,команда создана в графане
8,11:49,команда создана
8,11:49,зарегистрировался
8,11:49,подписка для команды создана
8,12:11,запустил test
8,12:13,стартовал grafana
8,12:18,перешел в status TEST_STOPPING
8,12:18,перешел в status CANCELED
8,17:22,запустил test
8,17:22,стартовал grafana
8,17:22,запустил test
8,17:25,стартовал grafana
8,17:26,перешел в status TEST_STOPPING
8,17:26,перешел в status CANCELED
8,17:26,перешел в status TEST_STOPPING
8,17:26,перешел в status CANCELED
8,18:47,запустил test
8,18:47,стартовал grafana
8,18:50,запустил test
8,18:53,стартовал grafana
8,18:53,запустил test
8,18:53,стартовал grafana
8,18:58,перешел в status TEST_STOPPING
8,18:58,перешел в status CANCELED
8,18:58,перешел в status TEST_STOPPING
8,18:58,перешел в status CANCELED
8,18:58,перешел в status TEST_STOPPING
8,18:58,перешел в status CANCELED
9,09:31,обновил подписку
9,13:33,команда создана в графане
9,13:33,подписка для команды создана
9,13:33,команда создана
9,13:33,зарегистрировался
9,13:59,команда создана в графане
9,13:59,подписка для команды создана
9,13:59,зарегистрировался
9,13:59,команда создана
9,17:16,запустил test
9,17:17,стартовал grafana
9,17:23,перешел в status FINISHED
10,07:08,запустил test
10,07:09,стартовал grafana
10,07:42,перешел в status FINISHED
10,07:57,запустил test
10,07:57,запустил test
10,07:57,запустил test
10,07:57,запустил test
10,07:59,стартовал grafana
10,07:59,стартовал grafana
10,07:59,стартовал grafana
10,08:00,стартовал grafana
10,08:18,перешел в status TEST_STOPPING
10,08:18,перешел в status CANCELED
10,08:18,перешел в status TEST_STOPPING
10,08:18,перешел в status CANCELED
10,08:18,перешел в status TEST_STOPPING
10,08:18,перешел в status CANCELED
10,08:18,перешел в status TEST_STOPPING
10,08:18,перешел в status CANCELED
10,08:34,запустил test
10,08:34,перешел в status TEST_STOPPING
10,08:35,перешел в status FAILED
10,20:48,запустил test
10,20:48,стартовал grafana
10,20:48,запустил test
10,20:49,запустил test
10,20:51,стартовал grafana
10,20:51,стартовал grafana
10,20:59,перешел в status TEST_STOPPING
10,20:59,перешел в status CANCELED
10,21:01,перешел в status TEST_STOPPING
10,21:01,перешел в status CANCELED
10,21:02,перешел в status TEST_STOPPING
10,21:02,перешел в status CANCELED
10,21:03,запустил test
10,21:04,стартовал grafana
10,21:04,запустил test
10,21:04,стартовал grafana
10,21:04,запустил test
10,21:05,стартовал grafana
10,21:09,перешел в status TEST_STOPPING
10,21:09,перешел в status CANCELED
10,21:10,запустил test
10,21:10,стартовал grafana
10,21:12,перешел в status TEST_STOPPING
10,21:12,перешел в status CANCELED
10,21:13,перешел в status TEST_STOPPING
10,21:13,перешел в status CANCELED
10,21:13,перешел в status TEST_STOPPING
10,21:13,перешел в status CANCELED
10,21:33,запустил test
10,21:33,запустил test
10,21:33,запустил test
10,21:33,стартовал grafana
10,21:36,стартовал grafana
10,21:36,стартовал grafana
10,22:09,перешел в status FINISHED
10,22:11,перешел в status FINISHED
10,22:11,перешел в status FINISHED
11,12:48,запустил test
11,12:48,запустил test
11,12:48,запустил test
11,12:50,стартовал grafana
11,12:50,стартовал grafana
11,12:50,стартовал grafana
11,13:25,перешел в status FINISHED
11,13:26,перешел в status FINISHED
11,13:26,перешел в status FINISHED
11,14:02,запустил test
11,14:02,запустил test
11,14:02,запустил test
11,14:04,стартовал grafana
11,14:04,стартовал grafana
11,14:04,стартовал grafana
11,14:45,запустил test
11,14:45,запустил test
11,14:45,запустил test
11,14:45,запустил test
11,14:45,стартовал grafana
11,14:45,стартовал grafana
11,14:45,стартовал grafana
11,14:45,стартовал grafana
11,14:46,перешел в status FINISHED
11,14:46,перешел в status FINISHED
11,14:46,перешел в status FINISHED
11,14:49,перешел в status TEST_STOPPING
11,14:49,перешел в status CANCELED
11,14:49,перешел в status TEST_STOPPING
11,14:49,перешел в status CANCELED
11,14:49,перешел в status TEST_STOPPING
11,14:49,перешел в status CANCELED
11,14:49,перешел в status TEST_STOPPING
11,14:49,перешел в status CANCELED
11,14:51,запустил test
11,14:51,запустил test
11,14:52,запустил test
11,14:52,запустил test
11,14:52,стартовал grafana
11,14:53,стартовал grafana
11,14:53,стартовал grafana
11,14:53,стартовал grafana
11,15:13,перешел в status FINISHED
11,15:14,перешел в status FINISHED
11,15:15,перешел в status FINISHED
11,15:15,перешел в status FINISHED
11,16:04,запустил test
11,16:04,запустил test
11,16:04,запустил test
11,16:07,стартовал grafana
11,16:07,стартовал grafana
11,16:07,стартовал grafana
11,16:42,перешел в status FINISHED
11,16:43,перешел в status FINISHED
11,16:43,перешел в status FINISHED
11,16:44,запустил test
11,16:44,запустил test
11,16:44,запустил test
11,16:44,стартовал grafana
11,16:46,стартовал grafana
11,16:46,стартовал grafana
11,17:05,перешел в status TEST_STOPPING
11,17:05,перешел в status CANCELED
11,17:05,перешел в status TEST_STOPPING
11,17:05,перешел в status CANCELED
11,17:05,перешел в status TEST_STOPPING
11,17:05,перешел в status CANCELED
11,17:06,запустил test
11,17:06,запустил test
11,17:06,запустил test
11,17:06,стартовал grafana
11,17:06,стартовал grafana
11,17:06,стартовал grafana
11,17:10,перешел в status TEST_STOPPING
11,17:10,перешел в status CANCELED
11,17:10,перешел в status TEST_STOPPING
11,17:10,перешел в status CANCELED
11,17:10,перешел в status TEST_STOPPING
11,17:10,перешел в status CANCELED
11,17:10,запустил test
11,17:10,запустил test
11,17:10,запустил test
11,17:11,стартовал grafana
11,17:13,стартовал grafana
11,17:13,стартовал grafana
11,17:46,перешел в status FINISHED
11,17:48,перешел в status FINISHED
11,17:48,перешел в status FINISHED
11,20:54,команда создана в графане
11,20:54,команда создана
11,20:54,подписка для команды создана
11,20:54,зарегистрировался
12,18:01,команда создана в графане
12,18:01,команда создана
12,18:01,подписка для команды создана
12,18:01,зарегистрировался
13,00:47,команда создана в графане
13,00:47,подписка для команды создана
13,00:47,зарегистрировался
13,00:47,команда создана
13,14:20,запустил test
13,14:22,стартовал grafana
13,14:29,перешел в status FINISHED
13,14:41,запустил test
13,14:41,перешел в status TEST_STOPPING
13,14:42,перешел в status FAILED
13,18:00,запустил test
